step,loss
663.0,0.0425
664.0,0.0347
665.0,0.0442
666.0,0.036
667.0,0.0473
668.0,0.047
669.0,0.0406
670.0,0.0297
671.0,0.0547
672.0,0.0276
673.0,0.0469
674.0,0.0293
675.0,0.0441
676.0,0.0389
677.0,0.0394
678.0,0.0348
679.0,0.0471
680.0,0.0402
681.0,0.0329
682.0,0.0343
683.0,0.0396
684.0,0.0297
685.0,0.0407
686.0,0.0401
687.0,0.0346
688.0,0.061
689.0,0.0353
690.0,0.0495
691.0,0.0406
692.0,0.0483
693.0,0.0399
694.0,0.0305
695.0,0.0374
696.0,0.0383
697.0,0.0495
698.0,0.0408
699.0,0.0507
700.0,0.0358
701.0,0.0406
702.0,0.0415
703.0,0.0426
704.0,0.0404
705.0,0.0326
706.0,0.0331
707.0,0.0365
708.0,0.0422
709.0,0.0443
710.0,0.038
711.0,0.0358
712.0,0.0443
713.0,0.0428
714.0,0.0575
715.0,0.0332
716.0,0.0519
717.0,0.0366
718.0,0.0411
719.0,0.0442
720.0,0.0449
721.0,0.0418
722.0,0.0461
723.0,0.0371
724.0,0.0371
725.0,0.0535
726.0,0.0387
727.0,0.0491
728.0,0.0321
729.0,0.0411
730.0,0.0371
731.0,0.0479
732.0,0.0469
733.0,0.0412
734.0,0.0318
735.0,0.0486
736.0,0.0528
737.0,0.0309
738.0,0.0507
739.0,0.0372
740.0,0.0439
741.0,0.0373
742.0,0.0372
743.0,0.0378
744.0,0.0437
745.0,0.0379
746.0,0.0406
747.0,0.0309
748.0,0.0314
749.0,0.0325
750.0,0.0376
751.0,0.0383
752.0,0.038
753.0,0.0466
754.0,0.0343
755.0,0.0367
756.0,0.0453
757.0,0.0377
758.0,0.045
759.0,0.0333
760.0,0.0582
761.0,0.0308
762.0,0.0351
763.0,0.0472
764.0,0.0336
765.0,0.0358
766.0,0.0349
767.0,0.0463
768.0,0.04
769.0,0.0358
770.0,0.0394
771.0,0.0374
772.0,0.03
773.0,0.0455
774.0,0.0453
775.0,0.0396
776.0,0.0415
777.0,0.0458
778.0,0.0513
779.0,0.0512
780.0,0.0315
781.0,0.0337
782.0,0.0375
783.0,0.0471
784.0,0.0427
785.0,0.038
786.0,0.0439
787.0,0.0599
788.0,0.0411
789.0,0.0583
790.0,0.038
791.0,0.0394
792.0,0.026
793.0,0.0349
794.0,0.0505
795.0,0.0576
796.0,0.0459
797.0,0.0429
798.0,0.0383
799.0,0.038
800.0,0.0434
801.0,0.0402
802.0,0.0392
803.0,0.0338
804.0,0.0742
805.0,0.0334
806.0,0.0341
807.0,0.0414
808.0,0.0497
809.0,0.0272
810.0,0.0492
811.0,0.0448
812.0,0.0463
813.0,0.0408
814.0,0.0443
815.0,0.0413
816.0,0.0299
817.0,0.0371
818.0,0.0365
819.0,0.0468
820.0,0.049
821.0,0.0389
822.0,0.0325
823.0,0.0421
824.0,0.0414
825.0,0.0275
826.0,0.0381
827.0,0.03
828.0,0.0427
829.0,0.0447
830.0,0.0389
831.0,0.0416
832.0,0.0371
833.0,0.038
834.0,0.0314
835.0,0.042
836.0,0.0319
837.0,0.0324
838.0,0.0412
839.0,0.0369
840.0,0.049
841.0,0.03
842.0,0.0367
843.0,0.0383
844.0,0.0484
845.0,0.0652
846.0,0.0294
847.0,0.036
848.0,0.0471
849.0,0.0315
850.0,0.05
851.0,0.034
852.0,0.0307
853.0,0.0444
854.0,0.0358
855.0,0.0293
856.0,0.0423
857.0,0.0338
858.0,0.036
859.0,0.0424
860.0,0.0385
861.0,0.0358
862.0,0.034
863.0,0.037
864.0,0.0363
865.0,0.03
866.0,0.0367
867.0,0.0348
868.0,0.0468
869.0,0.029
870.0,0.0412
871.0,0.0369
872.0,0.0388
873.0,0.0432
874.0,0.0518
875.0,0.0411
876.0,0.0473
877.0,0.0344
878.0,0.0361
879.0,0.0338
880.0,0.039
881.0,0.0417
882.0,0.037
883.0,0.0318
884.0,0.0317
885.0,0.0398
886.0,0.0408
887.0,0.0311
888.0,0.0393
889.0,0.0345
890.0,0.0369
891.0,0.0376
892.0,0.0549
893.0,0.0426
894.0,0.0335
895.0,0.0272
896.0,0.0324
897.0,0.0299
898.0,0.0352
899.0,0.0406
900.0,0.0353
901.0,0.0371
902.0,0.0458
903.0,0.0392
904.0,0.0368
905.0,0.0332
906.0,0.0419
907.0,0.0327
908.0,0.0367
909.0,0.0369
910.0,0.0237
911.0,0.0335
912.0,0.0275
913.0,0.037
914.0,0.0412
915.0,0.0273
916.0,0.042
917.0,0.0324
918.0,0.0417
919.0,0.045
920.0,0.0297
921.0,0.037
922.0,0.0364
923.0,0.0305
924.0,0.029
925.0,0.0388
926.0,0.0289
927.0,0.0394
928.0,0.0368
929.0,0.0324
930.0,0.0422
931.0,0.0389
932.0,0.0469
933.0,0.044
934.0,0.0312
935.0,0.0424
936.0,0.03
937.0,0.0395
938.0,0.0368
939.0,0.0448
940.0,0.0334
941.0,0.0548
942.0,0.0401
